"v /net8; ac dB20(V) (modelFiles=nom,cf=1e-12) X","v /net8; ac dB20(V) (modelFiles=nom,cf=1e-12) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:fs,cf=1e-12) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:fs,cf=1e-12) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:sf,cf=1e-12) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:sf,cf=1e-12) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:ss,cf=1e-12) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:ss,cf=1e-12) Y"
0.1,99.99984155155602,0.1,99.99984155155602,0.1,99.99984155155602,0.1,99.99984173219332
0.1659586907437561,99.99984155155599,0.1659586907437561,99.99984155155599,0.1659586907437561,99.99984155155599,0.1659586907437561,99.99984173219329
0.2754228703338167,99.9998415515559,0.2754228703338167,99.9998415515559,0.2754228703338167,99.9998415515559,0.2754228703338167,99.9998417321932
0.4570881896148751,99.99984155155568,0.4570881896148751,99.99984155155568,0.4570881896148751,99.99984155155568,0.4570881896148751,99.99984173219298
0.7585775750291839,99.99984155155504,0.7585775750291839,99.99984155155504,0.7585775750291839,99.99984155155504,0.7585775750291839,99.99984173219235
1.258925411794168,99.99984155155332,1.258925411794168,99.99984155155332,1.258925411794168,99.99984155155332,1.258925411794168,99.99984173219062
2.08929613085404,99.99984155154856,2.08929613085404,99.99984155154856,2.08929613085404,99.99984155154856,2.08929613085404,99.99984173218586
3.467368504525318,99.99984155153541,3.467368504525318,99.99984155153541,3.467368504525318,99.99984155153541,3.467368504525318,99.99984173217273
5.754399373371571,99.99984155149924,5.754399373371571,99.99984155149924,5.754399373371571,99.99984155149924,5.754399373371571,99.99984173213659
9.549925860214364,99.99984155139963,9.549925860214364,99.99984155139963,9.549925860214364,99.99984155139963,9.549925860214364,99.999841732037
15.84893192461114,99.99984155112529,15.84893192461114,99.99984155112529,15.84893192461114,99.99984155112529,15.84893192461114,99.99984173176276
26.30267991895383,99.99984155036962,26.30267991895383,99.99984155036962,26.30267991895383,99.99984155036962,26.30267991895383,99.99984173100741
43.65158322401662,99.9998415482884,43.65158322401662,99.9998415482884,43.65158322401662,99.9998415482884,43.65158322401662,99.99984172892702
72.44359600749904,99.99984154255627,72.44359600749904,99.99984154255627,72.44359600749904,99.99984154255627,72.44359600749904,99.99984172319716
120.2264434617413,99.99984152676859,120.2264434617413,99.99984152676859,120.2264434617413,99.99984152676859,120.2264434617413,99.99984170741584
199.526231496888,99.99984148328576,199.526231496888,99.99984148328576,199.526231496888,99.99984148328576,199.526231496888,99.99984166395043
331.1311214825913,99.9998413635241,331.1311214825913,99.9998413635241,331.1311214825913,99.9998413635241,331.1311214825913,99.99984154423679
549.5408738576248,99.99984103367311,549.5408738576248,99.99984103367311,549.5408738576248,99.99984103367311,549.5408738576248,99.99984121451804
912.0108393559101,99.9998401251882,912.0108393559101,99.9998401251882,912.0108393559101,99.9998401251882,912.0108393559101,99.99984030639735
1513.561248436209,99.99983762301392,1513.561248436209,99.99983762301392,1513.561248436209,99.99983762301392,1513.561248436209,99.99983780522624
2511.886431509581,99.99983073146124,2511.886431509581,99.99983073146124,2511.886431509581,99.99983073146124,2511.886431509581,99.99983091643649
4168.693834703356,99.99981175060628,4168.693834703356,99.99981175060628,4168.693834703356,99.99981175060628,4168.693834703356,99.99981194319119
6918.309709189368,99.99975947342458,6918.309709189368,99.99975947342458,6918.309709189368,99.99975947342458,6918.309709189368,99.99975968696786
11481.53621496883,99.99961549340117,11481.53621496883,99.99961549340117,11481.53621496883,99.99961549340117,11481.53621496883,99.99961576466572
19054.60717963248,99.99921896445017,19054.60717963248,99.99921896445017,19054.60717963248,99.99921896445017,19054.60717963248,99.99921939467029
31622.77660168381,99.99812702234169,31622.77660168381,99.99812702234169,31622.77660168381,99.99812702234169,31622.77660168381,99.99812789019495
52480.74602497728,99.99512099911043,52480.74602497728,99.99512099911043,52480.74602497728,99.99512099911043,52480.74602497728,99.99512307104104
87096.35899560811,99.98685258894562,87096.35899560811,99.98685258894562,87096.35899560811,99.98685258894562,87096.35899560811,99.98685796761578
144543.9770745928,99.96416148636808,144543.9770745928,99.96416148636808,144543.9770745928,99.96416148636808,144543.9770745928,99.96417590054917
239883.2919019492,99.9022780877157,239883.2919019492,99.9022780877157,239883.2919019492,99.9022780877157,239883.2919019492,99.90231685280305
398107.1705534975,99.73631064041177,398107.1705534975,99.73631064041177,398107.1705534975,99.73631064041177,398107.1705534975,99.73641263710307
660693.4480075964,99.30984650549705,660693.4480075964,99.30984650549705,660693.4480075964,99.30984650549705,660693.4480075964,99.31009751756585
1096478.196143186,98.31644847393251,1096478.196143186,98.31644847393251,1096478.196143186,98.31644847393251,1096478.196143186,98.31697585702551
1819700.858609985,96.38563746697389,1819700.858609985,96.38563746697389,1819700.858609985,96.38563746697389,1819700.858609985,96.38643674180176
3019951.720402018,93.42925617525862,3019951.720402018,93.42925617525862,3019951.720402018,93.42925617525862,3019951.720402018,93.42972549386481
5011872.336272726,89.76023768756562,5011872.336272726,89.76023768756562,5011872.336272726,89.76023768756562,5011872.336272726,89.75856865012659
8317637.711026715,85.73519447336146,8317637.711026715,85.73519447336146,8317637.711026715,85.73519447336146,8317637.711026715,85.72947581837282
13803842.64602886,81.5471106957507,13803842.64602886,81.5471106957507,13803842.64602886,81.5471106957507,13803842.64602886,81.54016468314403
22908676.52767774,77.31264076280971,22908676.52767774,77.31264076280971,22908676.52767774,77.31264076280971,22908676.52767774,77.31550198558709
38018939.63205615,73.14676703160528,38018939.63205615,73.14676703160528,38018939.63205615,73.14676703160528,38018939.63205615,73.18288405829753
63095734.44801937,69.02271024891678,63095734.44801937,69.02271024891678,63095734.44801937,69.02271024891678,63095734.44801937,69.12098470346925
104712854.80509,63.33448275911917,104712854.80509,63.33448275911917,104712854.80509,63.33448275911917,104712854.80509,63.33155822856342
173780082.8749377,52.91519435218822,173780082.8749377,52.91519435218822,173780082.8749377,52.91519435218822,173780082.8749377,52.634409568149
288403150.3126608,41.09056224436597,288403150.3126608,41.09056224436597,288403150.3126608,41.09056224436597,288403150.3126608,40.80539992326401
478630092.3226386,31.08764383652158,478630092.3226386,31.08764383652158,478630092.3226386,31.08764383652158,478630092.3226386,30.90502949941581
794328234.724282,23.92462979943613,794328234.724282,23.92462979943613,794328234.724282,23.92462979943613,794328234.724282,23.82949661500101
1318256738.556408,18.62514632200529,1318256738.556408,18.62514632200529,1318256738.556408,18.62514632200529,1318256738.556408,18.56553646163415
2187761623.949554,13.96956169649605,2187761623.949554,13.96956169649605,2187761623.949554,13.96956169649605,2187761623.949554,13.91997702239656
3630780547.701016,9.491517772938181,3630780547.701016,9.491517772938181,3630780547.701016,9.491517772938181,3630780547.701016,9.444745180790425
6025595860.743582,5.065451254722158,6025595860.743582,5.065451254722158,6025595860.743582,5.065451254722158,6025595860.743582,5.019559027743391
10000000000,0.6563030511670482,10000000000,0.6563030511670482,10000000000,0.6563030511670482,10000000000,0.6107101879143919
