"/net8 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) X","/net8 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) Y","/net8 (Corner=Asym_SF,modelFiles=spectre.scs:sf) X","/net8 (Corner=Asym_SF,modelFiles=spectre.scs:sf) Y","/net8 (Corner=Asym_FS,modelFiles=spectre.scs:fs) X","/net8 (Corner=Asym_FS,modelFiles=spectre.scs:fs) Y","/net8 (Corner=nom,modelFiles=nom) X","/net8 (Corner=nom,modelFiles=nom) Y"
1e-10,1.650013456500844,1e-10,1.650012012489064,1e-10,1.650012012489064,1e-10,1.650012012489064
1.202264434617413e-10,1.650015479108349,1.202264434617413e-10,1.650014035096525,1.202264434617413e-10,1.650014035096525,1.202264434617413e-10,1.650014035096525
1.445439770745928e-10,1.650017910817418,1.445439770745928e-10,1.650016466805541,1.445439770745928e-10,1.650016466805541,1.445439770745928e-10,1.650016466805541
1.737800828749376e-10,1.650020834374747,1.737800828749376e-10,1.650019390362807,1.737800828749376e-10,1.650019390362807,1.737800828749376e-10,1.650019390362807
2.08929613085404e-10,1.650024349263747,2.08929613085404e-10,1.650022905251729,2.08929613085404e-10,1.650022905251729,2.08929613085404e-10,1.650022905251729
2.51188643150958e-10,1.65002857508978,2.51188643150958e-10,1.650027131077673,2.51188643150958e-10,1.650027131077673,2.51188643150958e-10,1.650027131077673
3.019951720402017e-10,1.65003365565013,3.019951720402017e-10,1.650032211637912,3.019951720402017e-10,1.650032211637912,3.019951720402017e-10,1.650032211637912
3.630780547701014e-10,1.650039763827146,3.630780547701014e-10,1.650038319814795,3.630780547701014e-10,1.650038319814795,3.630780547701014e-10,1.650038319814795
4.365158322401661e-10,1.650047107471131,4.365158322401661e-10,1.650045663458619,4.365158322401661e-10,1.650045663458619,4.365158322401661e-10,1.650045663458619
5.248074602497728e-10,1.650055936473114,5.248074602497728e-10,1.650054492460411,5.248074602497728e-10,1.650054492460411,5.248074602497728e-10,1.650054492460411
6.309573444801935e-10,1.650066551268193,6.309573444801935e-10,1.650065107255262,6.309573444801935e-10,1.650065107255262,6.309573444801935e-10,1.650065107255262
7.585775750291841e-10,1.650079313058796,7.585775750291841e-10,1.650077869045588,7.585775750291841e-10,1.650077869045588,7.585775750291841e-10,1.650077869045588
9.120108393559102e-10,1.650094656105758,9.120108393559102e-10,1.650093212092219,9.120108393559102e-10,1.650093212092219,9.120108393559102e-10,1.650093212092219
1.096478196143186e-09,1.650113102505443,1.096478196143186e-09,1.650111658491504,1.096478196143186e-09,1.650111658491504,1.096478196143186e-09,1.650111658491504
1.318256738556408e-09,1.650135279955729,1.318256738556408e-09,1.650133835941307,1.318256738556408e-09,1.650133835941307,1.318256738556408e-09,1.650133835941307
1.584893192461114e-09,1.650161943115455,1.584893192461114e-09,1.650160499100458,1.584893192461114e-09,1.650160499100458,1.584893192461114e-09,1.650160499100458
1.905460717963249e-09,1.650193999284112,1.905460717963249e-09,1.650192555268417,1.905460717963249e-09,1.650192555268417,1.905460717963249e-09,1.650192555268417
2.290867652767775e-09,1.650232539275586,2.290867652767775e-09,1.650231095259064,2.290867652767775e-09,1.650231095259064,2.290867652767775e-09,1.650231095259064
2.754228703338169e-09,1.650278874536655,2.754228703338169e-09,1.650277430519126,2.754228703338169e-09,1.650277430519126,2.754228703338169e-09,1.650277430519126
3.311311214825914e-09,1.650334581773096,3.311311214825914e-09,1.650333137754364,3.311311214825914e-09,1.650333137754364,3.311311214825914e-09,1.650333137754364
3.981071705534976e-09,1.650401556602218,3.981071705534976e-09,1.650400112582038,3.981071705534976e-09,1.650400112582038,3.981071705534976e-09,1.650400112582038
4.786300923226388e-09,1.650482078057276,4.786300923226388e-09,1.650480634035354,4.786300923226388e-09,1.650480634035354,4.786300923226388e-09,1.650480634035354
5.754399373371576e-09,1.650578886138905,5.754399373371576e-09,1.650577442114898,5.754399373371576e-09,1.650577442114898,5.754399373371576e-09,1.650577442114898
6.918309709189373e-09,1.650695275052415,6.918309709189373e-09,1.650693831025895,6.918309709189373e-09,1.650693831025895,6.918309709189373e-09,1.650693831025895
8.31763771102672e-09,1.650835205303685,8.31763771102672e-09,1.65083376127415,8.31763771102672e-09,1.65083376127415,8.31763771102672e-09,1.65083376127415
1.000000000000001e-08,1.65100343846808,1.000000000000001e-08,1.651001994434927,1.000000000000001e-08,1.651001994434927,1.000000000000001e-08,1.651001994434927
1.202264434617415e-08,1.651205699218304,1.202264434617415e-08,1.651204255180805,1.202264434617415e-08,1.651204255180805,1.202264434617415e-08,1.651204255180805
1.44543977074593e-08,1.651448870124743,1.44543977074593e-08,1.651447426082027,1.44543977074593e-08,1.651447426082027,1.44543977074593e-08,1.651447426082027
1.737800828749378e-08,1.651741225856981,1.737800828749378e-08,1.651739781808012,1.737800828749378e-08,1.651739781808012,1.737800828749378e-08,1.651739781808012
2.089296130854042e-08,1.652092714755952,2.089296130854042e-08,1.65209127069948,2.089296130854042e-08,1.65209127069948,2.089296130854042e-08,1.65209127069948
2.511886431509584e-08,1.652515297358123,2.511886431509584e-08,1.652513853292663,2.511886431509584e-08,1.652513853292663,2.511886431509584e-08,1.652513853292663
3.019951720402021e-08,1.653023353391073,3.019951720402021e-08,1.653021909314846,3.019951720402021e-08,1.653021909314846,3.019951720402021e-08,1.653021909314846
3.630780547701019e-08,1.653634171089807,3.630780547701019e-08,1.653632727000698,3.630780547701019e-08,1.653632727000698,3.630780547701019e-08,1.653632727000698
4.365158322401667e-08,1.654368535484339,4.365158322401667e-08,1.654367091379826,4.365158322401667e-08,1.654367091379826,4.365158322401667e-08,1.654367091379826
5.248074602497734e-08,1.655251435676927,5.248074602497734e-08,1.655249991554019,5.248074602497734e-08,1.655249991554019,5.248074602497734e-08,1.655249991554019
6.309573444801943e-08,1.656312915176326,6.309573444801943e-08,1.656311471031488,6.309573444801943e-08,1.656311471031488,6.309573444801943e-08,1.656311471031488
7.58577575029185e-08,1.657589094224391,7.58577575029185e-08,1.657587650053444,7.58577575029185e-08,1.657587650053444,7.58577575029185e-08,1.657587650053444
9.120108393559112e-08,1.659123398902951,9.120108393559112e-08,1.659121954700996,9.120108393559112e-08,1.659121954700996,9.120108393559112e-08,1.659121954700996
1.096478196143187e-07,1.660968038845267,1.096478196143187e-07,1.660966594606567,1.096478196143187e-07,1.660966594606567,1.096478196143187e-07,1.660966594606567
1.318256738556409e-07,1.663185783835847,1.318256738556409e-07,1.663184339553756,1.318256738556409e-07,1.663184339553756,1.318256738556409e-07,1.663184339553756
1.584893192461116e-07,1.665852099753142,1.584893192461116e-07,1.665850655420001,1.584893192461116e-07,1.665850655420001,1.584893192461116e-07,1.665850655420001
1.90546071796325e-07,1.669057716537264,1.90546071796325e-07,1.669056272144363,1.90546071796325e-07,1.669056272144363,1.90546071796325e-07,1.669056272144363
2.290867652767777e-07,1.67291171556601,2.290867652767777e-07,1.672910271103583,2.290867652767777e-07,1.672910271103583,2.290867652767777e-07,1.672910271103583
2.754228703338171e-07,1.677545241496772,2.754228703338171e-07,1.67754379695408,2.754228703338171e-07,1.67754379695408,2.754228703338171e-07,1.67754379695408
3.311311214825916e-07,1.683115964881378,3.311311214825916e-07,1.683114520246955,3.311311214825916e-07,1.683114520246955,3.311311214825916e-07,1.683114520246955
3.981071705534979e-07,1.689813447408115,3.981071705534979e-07,1.689812002670219,3.981071705534979e-07,1.689812002670219,3.981071705534979e-07,1.689812002670219
4.786300923226391e-07,1.697865592339582,4.786300923226391e-07,1.697864147487014,4.786300923226391e-07,1.697864147487014,4.786300923226391e-07,1.697864147487014
5.754399373371579e-07,1.707546399641819,5.754399373371579e-07,1.707544954665239,5.754399373371579e-07,1.707544954665239,5.754399373371579e-07,1.707544954665239
6.918309709189377e-07,1.719185289695448,6.918309709189377e-07,1.719183844589448,6.918309709189377e-07,1.719183844589448,6.918309709189377e-07,1.719183844589448
8.317637711026725e-07,1.73317831285396,8.317637711026725e-07,1.733176867620219,8.317637711026725e-07,1.733176867620219,8.317637711026725e-07,1.733176867620219
1e-06,1.750001626283373,1e-06,1.750000180935395,1e-06,1.750000180935395,1e-06,1.750000180935395
